id,lat,lon,city,iata,size
4245,57.13623931917742,-154.3359375,Olga Bay,KOY,4
4246,57.891497352710324,-152.578125,Ouzinkie,KOZ,4
4248,56.36525013685607,-133.59375,Point Baker,KPB,4
4260,58.44773280389082,-152.578125,Port Williams,KPR,4
4264,57.891497352710324,-152.9296875,Port Bailey,KPY,4
4313,55.77657301866768,-132.5390625,Thorne Bay,KTB,4
4329,65.36683689226321,-166.640625,Brevig Mission,KTS,4
4373,57.704147234341924,-153.6328125,West Point,KWP,4
4395,64.92354174306496,-157.8515625,Koyukuk,KYU,4
4398,57.51582286553883,-153.6328125,Zachar Bay,KZB,4
4461,30.14512718337612,-93.1640625,Lake Charles,LCH,4
4637,40.979898069620134,-96.6796875,Lincoln,LNK,4
4647,20.632784250388017,-156.796875,Lanai City,LNY,4
4684,48.45835188280866,-123.046875,Lopez Island,LPS,4
4761,21.28937435586042,-157.1484375,Kalaupapa,LUP,4
4791,46.316584181822186,-117.0703125,Lewiston,LWS,4
4837,25.79989118208832,-97.3828125,Matamoros,MAM,4
4878,37.160316546736766,-120.5859375,Merced,MCE,4
5000,39.09596293630549,-96.6796875,Manhattan,MHK,4
5065,35.4606699514953,-88.9453125,Jackson,MKL,4
5089,61.93895042666062,-162.0703125,Marshall,MLL,4
5097,32.54681317351515,-92.109375,Monroe,MLU,4
5108,37.718590325588146,-118.828125,Mammoth Lakes,MMH,4
5162,62.103882522897855,-163.828125,Mountain Village,MOU,4
5278,19.973348786110602,-155.7421875,Kamuela,MUE,4
5482,27.37176730052304,-99.4921875,Nuevo Laredo,NLD,4
5493,60.064840460104506,-154.6875,Nondalton,NNL,4
5537,64.77412531292873,-158.203125,Nulato,NUL,4
5573,66.93006025862447,-156.796875,Kobuk,OBU,4
5667,57.891497352710324,-152.9296875,Port Lions,ORI,4
5675,66.79190947341796,-161.015625,Noorvik,ORV,4
5687,43.32517767999295,-124.1015625,North Bend,OTH,4
5750,59.71209717332292,-153.984375,Pedro Bay,PDB,4
5906,56.36525013685607,-133.59375,Port Protection,PPV,4
5909,61.93895042666062,-162.7734375,Pilot Station,PQS,4
5912,34.59704151614417,-112.5,Prescott,PRC,4
5928,56.752722872057355,-132.890625,Petersburg,PSG,4
5940,60.239811169998916,-154.3359375,Port Alsworth,PTA,4
5966,46.8000594467873,-117.0703125,Pullman,PUW,4
5992,52.48278022207821,-126.5625,Bella Coola,QBC,4
6092,45.58328975600631,-89.296875,Rhinelander,RHI,4
6169,43.834526782236836,-92.4609375,Rochester,RST,4
6221,34.016241889667015,-117.0703125,San Bernardino,SBD,4
6259,55.379110448010486,-160.6640625,Sand Point,SDP,4
6302,59.5343180010956,-135.3515625,Skagway,SGY,4
6307,66.93006025862447,-157.1484375,Shungnak,SHG,4
6308,66.23145747862573,-165.9375,Shishmaref,SHH,4
6327,59.355596110016315,-151.875,Seldovia,SOV,4
6412,42.293564192170074,-96.328125,Sioux City,SUX,4
6413,63.704722429433225,-170.5078125,Savoonga,SVA,4
6414,32.54681317351515,-108.28125,Silver City,SVC,4
6489,37.718590325588146,-92.109375,Fort Leonard Wood,TBN,4
6523,37.996162679728116,-107.9296875,Telluride,TEX,4
6568,63.39152174400882,-143.0859375,Tok,TKJ,4
6571,65.2198939361321,-166.2890625,Teller,TLA,4
6575,62.91523303947613,-156.09375,Takotna,TLJ,4
